order_item_id,order_id,product_id,quantity,price_per_unit,total_price
1,1,893,2,982.93,1965.86
2,1,6,3,557.0,1671.0
3,1,770,4,504.61,2018.44
4,1,563,2,870.78,1741.56
5,2,53,5,862.88,4314.4
6,2,876,1,288.71,288.71
7,2,521,2,213.35,426.7
8,2,22,4,584.78,2339.12
9,3,515,1,542.14,542.14
10,3,609,5,609.12,3045.6
11,3,527,2,73.12,146.24
12,3,176,1,474.8,474.8
13,4,848,2,590.16,1180.32
14,4,365,2,393.01,786.02
15,4,642,1,147.79,147.79
16,4,5,5,157.56,787.8
17,5,786,2,901.44,1802.88
18,5,201,3,640.25,1920.75
19,5,696,3,813.77,2441.31
20,6,579,1,192.21,192.21
21,6,217,1,623.35,623.35
22,6,748,2,323.31,646.62
23,7,887,5,671.46,3357.3
24,7,134,5,794.7,3973.5
25,7,867,5,171.03,855.15
26,8,172,3,46.65,139.95
27,8,89,1,347.82,347.82
28,9,815,2,918.25,1836.5
29,9,174,4,530.69,2122.76
30,10,575,2,555.14,1110.28
31,10,865,3,550.56,1651.68
32,10,858,4,337.86,1351.44
33,10,586,5,556.13,2780.65
34,11,922,5,207.12,1035.6
35,11,254,3,458.96,1376.88
36,11,808,5,518.33,2591.65
37,11,708,3,84.76,254.28
38,12,173,4,871.0,3484.0
39,12,809,1,990.77,990.77
40,13,183,2,109.5,219.0
41,13,307,1,66.32,66.32
42,14,5,4,157.56,630.24
43,14,485,1,641.57,641.57
44,14,13,2,931.51,1863.02
45,14,493,5,883.42,4417.1
46,15,503,1,642.34,642.34
47,15,806,3,607.27,1821.81
48,16,918,4,712.47,2849.88
49,16,556,3,67.05,201.15
50,17,301,4,469.31,1877.24
51,17,14,5,255.69,1278.45
52,18,913,5,974.48,4872.4
53,18,816,5,903.47,4517.35
54,18,379,5,973.99,4869.95
55,18,166,1,351.67,351.67
56,19,335,1,443.3,443.3
57,19,969,3,965.67,2897.01
58,19,87,2,984.01,1968.02
59,19,144,5,100.33,501.65
60,20,939,4,650.87,2603.48
61,20,986,1,449.87,449.87
62,20,23,5,600.61,3003.05
63,21,639,4,729.94,2919.76
64,21,990,3,424.64,1273.92
65,21,592,3,569.35,1708.05
66,21,941,1,331.89,331.89
67,22,798,4,852.4,3409.6
68,22,113,3,135.32,405.96
69,23,920,1,876.43,876.43
70,23,241,4,481.48,1925.92
71,23,303,5,986.67,4933.35
72,23,738,4,754.92,3019.68
73,24,483,2,145.9,291.8
74,24,714,3,225.65,676.95
75,25,690,1,275.21,275.21
76,25,773,1,53.6,53.6
77,25,150,3,870.67,2612.01
78,25,617,5,15.14,75.7
79,26,519,3,510.43,1531.29
80,26,534,2,399.13,798.26
81,26,276,2,165.84,331.68
82,27,139,5,100.41,502.05
83,27,954,4,682.92,2731.68
84,27,554,4,542.55,2170.2
85,27,644,4,454.58,1818.32
86,28,344,3,847.43,2542.29
87,28,963,2,323.22,646.44
88,29,842,5,240.3,1201.5
89,29,707,3,636.08,1908.24
90,29,690,5,275.21,1376.05
91,29,946,5,502.4,2512.0
92,30,823,4,253.33,1013.32
93,30,84,5,717.86,3589.3
94,30,310,4,793.9,3175.6
95,31,891,4,305.86,1223.44
96,31,53,1,862.88,862.88
97,31,479,1,775.33,775.33
98,31,615,1,275.29,275.29
99,32,660,1,457.92,457.92
100,32,238,3,35.52,106.56
101,32,194,2,309.1,618.2
102,32,412,2,683.31,1366.62
103,33,640,2,799.71,1599.42
104,33,118,4,823.89,3295.56
105,33,184,2,38.66,77.32
106,34,12,3,418.17,1254.51
107,34,772,1,725.55,725.55
108,34,382,3,300.83,902.49
109,35,986,5,449.87,2249.35
110,35,662,4,118.27,473.08
111,35,431,2,351.92,703.84
112,35,838,1,365.2,365.2
113,36,665,3,192.61,577.83
